"","GEOID","NAME","RiskFactor1_percent","IncomePoverty_ratio","Total","Occupants_Above1","Occupants_Above1_point5","Married_Above65","NoSpouse_MaleHH_Above65","NoSpouse_FemaleHH_Above65","Living_Alone","RiskFactor3_percent","RiskFactor2_percent","LanguageBarrier_Total","RiskFactor4a_percent","EducationalBarrier_Total","RiskFactor4b_percent","Above16_Unemployed_Total","RiskFactor5_percent","Disability_Total","RiskFactor6_percent","Total_Uninsured","RiskFactor7_percent","pop_64above_total","RiskFactor8_percent"
"1","17051","Fayette County, Illinois",25.7,2.12431693989071,7737,32,108,1232,49,136,2081,1.80948688122011,45.2113222179139,21,0.3,2893,16.9072526444977,525,3,3527,17.7,1644,8.2,1674,7.76257825179689
"2","17107","Logan County, Illinois",17.7,2.60965391621129,10797,65,3,1432,49,165,3331,0.629804575345003,46.09613781606,43,0.4,2811,12.0148743374936,738,3.1,3917,15.2,1154,4.5,1898,6.54415060510982
"3","17165","Saline County, Illinois",31.2,2.00774134790528,9972,149,48,1312,44,128,2996,1.97553148816687,44.925792218211,42,0.4,2582,13.7355037769976,816,4.2,5240,22.3,993,4.2,1886,7.86029840793532
"4","17097","Lake County, Illinois",12.2,4.07226775956284,246122,4370,1265,27955,1193,3281,55252,2.28951495599743,35.6250152363462,11790,4.8,51096,9.64208277743916,19357,3.5,62508,9.1,46304,6.8,39401,5.61689473436611
"5","17127","Massac County, Illinois",27.6,2.16215846994536,5822,97,84,812,105,70,1721,3.10889728615596,46.5132256956372,2,0,1556,14.1261915569678,259,2.3,2892,20.7,752,5.4,1167,8.20732822280048
"6","17017","Cass County, Illinois",21.2,2.38492714025501,5043,85,7,565,48,89,1432,1.82431092603609,42.3160816974023,362,7.2,1618,17.1216931216931,414,4.2,1603,13,675,5.5,910,7.2840790842872
"7","17139","Moultrie County, Illinois",16.3,2.79854280510018,5959,182,10,721,22,128,1660,3.22201711696593,42.4735693908374,39,0.7,1799,16.40674874601,216,1.9,1832,12.8,2296,16,1104,7.54046854723038
"8","17149","Pike County, Illinois",26,2.16265938069217,6309,35,26,908,47,56,1987,0.966872721508955,47.5194167062926,0,0,1378,11.3612004287245,434,3.5,2533,16.6,740,4.9,1278,8.15467075038285
"9","17151","Pope County, Illinois",30.3,1.73296903460838,1694,26,0,323,22,14,714,1.53482880755608,63.3412042502952,0,0,564,15.7674028515516,212,5.9,1055,26.1,160,4,491,11.6821318106115
"10","17163","St. Clair County, Illinois",22.8,2.51270491803279,104105,979,283,10259,560,2141,33776,1.21223764468565,44.8931367369483,947,0.9,19462,9.706781579958,8750,4.2,34585,13.5,15836,6.2,15219,5.80129451318528
"11","17173","Shelby County, Illinois",21,2.41133879781421,9189,112,84,1471,37,210,2522,2.13298509086952,46.1421264555447,3,0,1368,7.99859673741449,482,2.7,2749,12.8,830,3.9,1957,9.0030823020656
"12","17019","Champaign County, Illinois",26.5,2.4042349726776,82369,722,3424,6759,345,793,30076,5.03344704925397,46.1010817176365,3341,4.1,7949,4.666631442376,5191,3,18653,9,8262,4,10149,4.8346528710664
"13","17013","Calhoun County, Illinois",21.8,2.86926229508197,1664,12,0,319,0,31,470,0.721153846153846,49.2788461538462,0,0,402,10.520806071709,63,1.6,1049,22.1,65,1.4,484,10.0207039337474
"14","17053","Ford County, Illinois",21.9,2.37213114754098,5771,18,10,665,23,44,1986,0.485184543406689,47.0975567492636,10,0.2,1053,10.2701648298059,298,2.8,1957,15.2,639,5,911,6.86510926902788
"15","17089","Kane County, Illinois",12.6,3.61539162112933,179637,5147,1522,19431,964,2507,39305,3.71248684847776,34.6292801594326,8942,5,60405,15.3438360479176,13589,3.3,45597,8.6,44025,8.3,28711,5.4031420312547
"16","17093","Kendall County, Illinois",6.8,4.39722222222222,40721,743,86,3594,343,456,7062,2.03580462169397,28.1304486628521,686,1.7,7355,8.19882284746065,3045,3.3,9574,7.6,6288,5,5208,4.13156266362035
"17","17009","Brown County, Illinois",21.8,2.80760473588342,2055,42,11,264,0,0,590,2.57907542579075,41.5571776155718,50,2.4,982,17.9001093693037,94,1.7,737,15.5,301,6.3,397,5.98974049487025
"18","17121","Marion County, Illinois",26.7,2.16388888888889,15946,210,47,1916,96,243,5063,1.61168945190016,45.8923868054685,41,0.3,3291,11.3217283610844,1709,5.7,6964,18.8,2396,6.5,2932,7.7683279018626
"19","17125","Mason County, Illinois",20.9,2.20478142076503,5977,49,11,875,26,73,1706,1.00384808432324,44.838547766438,0,0,1188,10.9959274342836,448,4,2258,16.8,561,4.2,1203,8.83195066441524
"20","17075","Iroquois County, Illinois",22.3,2.39981785063752,11741,90,27,1583,55,298,3423,0.996507963546546,45.6434715952645,128,1.1,2353,10.8233670653174,673,3,4343,15.9,1591,5.8,2430,8.73723572558608
"21","17025","Clay County, Illinois",24,2.20856102003643,5696,133,69,800,6,90,1623,3.54634831460674,44.2240168539326,45,0.8,1297,12.6290165530672,318,3,2576,19.6,837,6.4,1042,7.8422518250922
"22","17059","Gallatin County, Illinois",31.4,2.00710382513661,2293,28,1,307,30,92,729,1.2647187091147,50.5015263846489,8,0.3,528,13.1147540983607,105,2.5,1164,23,150,3,490,9.67614533965245
"23","17133","Monroe County, Illinois",11.5,3.90469034608379,13586,33,17,1932,71,278,3025,0.368025909023995,39.0549094656264,76,0.6,1193,4.49747417627988,534,1.9,3245,9.6,864,2.5,2342,6.85436665886209
"24","17181","Union County, Illinois",25.2,2.30532786885246,6654,125,38,1034,69,82,1795,2.44965434325218,44.7850916741809,8,0.1,1701,12.7139547051349,480,3.5,3015,17.9,977,5.8,1469,8.65747289014616
"25","17201","Winnebago County, Illinois",22.1,2.48128415300546,114779,1664,616,13437,744,1880,34589,1.98642608839596,44.1282813058138,2478,2.2,28021,12.8696682573291,11774,5.2,39216,13.9,16529,5.9,19532,6.85768856712509
"26","17153","Pulaski County, Illinois",38,1.57741347905282,2095,17,0,295,11,53,712,0.81145584725537,51.1217183770883,12,0.6,490,11.3847583643123,183,4.1,1203,21.9,298,5.4,520,9.43738656987296
"27","17169","Schuyler County, Illinois",18.5,2.3841985428051,2775,23,0,473,8,72,848,0.828828828828829,50.4864864864865,120,4.3,632,11.1878208532484,234,4,1359,19.7,647,9.4,683,9.82309794333381
"28","17045","Edgar County, Illinois",23.2,2.44294171220401,7542,71,4,1126,37,111,2157,0.994431185361973,45.4919119596924,14,0.2,1361,9.80688860066292,449,3.1,2897,16.9,845,4.9,1499,8.61147814097777
"29","17007","Boone County, Illinois",15.3,3.15446265938069,18571,293,218,2302,103,304,3870,2.75160196004523,35.4262021431264,454,2.4,5458,13.6371586337856,1697,4.1,6128,11.5,3187,6,3434,6.41425556157424
"30","17011","Bureau County, Illinois",18.8,2.61548269581056,13698,137,57,2169,48,228,3814,1.41626514819682,45.692801868886,146,1.1,2528,9.71373679154659,835,3.1,4391,13.4,1521,4.6,2886,8.71324195398829
"31","17029","Coles County, Illinois",28.2,2.10391621129326,20926,135,127,2209,141,482,6884,1.25203096626207,46.4302781229093,152,0.7,3354,7.96712432894674,1498,3.5,7801,15.4,3107,6.1,3317,6.45921367787666
"32","17033","Crawford County, Illinois",24.9,2.26680327868852,7666,124,26,951,51,114,2321,1.95669188625098,44.8343334202974,33,0.4,2389,15.7078045893879,430,2.8,2970,17.8,1020,6.1,1425,7.51106894370651
"33","17155","Putnam County, Illinois",12,2.89790528233151,2413,7,10,470,8,22,660,0.704517198508081,48.0729382511397,20,0.8,366,7.94615718627877,77,1.6,770,13.5,147,2.6,548,9.57874497465478
"34","17039","De Witt County, Illinois",18.5,2.53128415300546,6694,90,12,917,16,103,2173,1.52375261428145,47.9384523453839,6,0.1,1214,9.72055408759709,398,3.1,2026,12.9,650,4.2,1206,7.56967110218428
"35","17103","Lee County, Illinois",19.7,2.65,13788,99,37,1748,57,187,4477,0.986364955033362,46.9176095155207,91,0.7,3347,12.136925698952,560,2,4850,15.5,1132,3.6,2804,8.15377010090436
"36","17117","Macoupin County, Illinois",21.3,2.5117941712204,18875,195,15,2420,159,368,5047,1.11258278145695,42.3523178807947,60,0.3,3221,9.00223588596982,1455,3.9,6609,14.7,2026,4.5,3557,7.82394474627719
"37","17159","Richland County, Illinois",23.9,2.22650273224044,6452,76,0,931,55,89,2031,1.17792932424055,48.1401115933044,31,0.5,1415,11.6556836902801,425,3.4,2709,17.4,674,4.3,1260,7.99188126347837
"38","17189","Washington County, Illinois",15.7,2.81252276867031,6020,64,50,849,16,88,1654,1.8936877076412,43.3056478405316,11,0.2,908,8.23956442831216,351,3.1,1696,12.2,486,3.5,1193,8.4862711623275
"39","17067","Hancock County, Illinois",22.4,2.39348816029144,7409,49,43,1182,51,135,2196,1.24173302739911,48.1036577135916,40,0.5,991,6.98231522581554,484,3.3,2609,14.7,542,3,1605,8.92509592392815
"40","17119","Madison County, Illinois",19.5,2.76584699453552,107659,834,652,11954,822,2297,30402,1.38028404499392,42.2398498964323,440,0.4,16163,7.82215640441173,8192,3.8,38004,14.5,13078,5,16938,6.39710547783787
"41","17063","Grundy County, Illinois",12.8,3.52231329690346,19676,188,32,2237,44,254,4634,1.11811343769059,36.4352510672901,59,0.3,2761,7.30713245997089,1101,2.8,4557,9.1,1863,3.7,2864,5.65270595665732
"42","17091","Kankakee County, Illinois",21.3,2.68224043715847,39796,383,267,4772,263,845,11215,1.63332998291286,42.9565785506081,535,1.3,10045,11.7998778310309,2789,3.2,14488,13.3,5656,5.2,7037,6.3604399974692
"43","17131","Mercer County, Illinois",15.9,2.72254098360656,6516,23,7,995,25,64,1838,0.460405156537753,44.8434622467772,7,0.1,1057,8.64621676891615,347,2.7,1984,12.9,450,2.9,1394,8.94220283533261
"44","17043","DuPage County, Illinois",10.6,4.22627504553734,342791,5570,1900,40327,1587,5288,85840,2.17917039828934,38.8114040333614,14729,4.3,52204,7.28520073237172,20833,2.8,74191,8,48777,5.3,55608,5.98540460250145
"45","17003","Alexander County, Illinois",34.3,1.67604735883424,2154,24,6,305,28,77,726,1.39275766016713,52.7390900649954,0,0,663,13.8038725796377,161,3.3,1374,22.2,474,7.7,564,9.00958466453674
"46","17129","Menard County, Illinois",13.6,3.40091074681239,5188,57,9,783,14,99,1259,1.272166538165,41.5381649961449,0,0,613,6.37744486059093,320,3.2,1754,14.4,317,2.6,967,7.85795546887697
"47","17099","LaSalle County, Illinois",20.1,2.6476320582878,45095,380,244,5531,208,953,13467,1.38374542632221,44.7034039250471,552,1.2,10228,11.8897051985492,3205,3.6,14508,13.6,4567,4.3,7849,7.15255565579522
"48","17031","Cook County, Illinois",20.3,2.94444444444444,1972108,44687,20722,165480,14820,53713,647474,3.31670476464778,44.6977041825296,150915,7.7,518562,12.7939922549472,193007,4.6,525808,10.2,453150,8.8,280203,5.39030736157668
"49","17115","Macon County, Illinois",25.3,2.29872495446266,43912,291,92,5541,230,770,15618,0.872198943341228,50.4622882127892,132,0.3,8314,10.1380353136279,3834,4.5,15538,15.1,4601,4.5,7991,7.57239784701691
"50","17177","Stephenson County, Illinois",24.9,2.22244990892532,19739,137,43,2889,55,206,6263,0.911900298900653,47.6873195197325,86,0.4,2778,7.85744590581247,1578,4.3,6572,14.8,2544,5.7,3838,8.5112988712217
"51","17191","Wayne County, Illinois",22.9,2.28829690346084,7051,138,0,1087,34,117,2240,1.95716919585874,49.3263366898312,89,1.3,1542,12.1618424165944,220,1.7,2858,17.5,1358,8.3,1398,8.52335081087672
"52","17203","Woodford County, Illinois",13.3,3.31548269581056,14499,130,3,2220,104,184,3470,0.917304641699427,41.2304296848058,37,0.3,1521,5.19112627986348,721,2.4,3742,9.8,1519,4,2709,7
"53","17055","Franklin County, Illinois",30.5,1.94758652094718,16235,225,26,1740,110,452,5569,1.54604250076994,48.4816753926702,10,0.1,3673,12.1201121927075,1280,4.1,8035,20.9,2424,6.3,3187,8.18796084577242
"54","17109","McDonough County, Illinois",30.7,2.02509107468124,11408,116,64,1374,25,121,4448,1.57784011220196,52.3141654978962,38,0.3,1444,5.71745327842889,1085,4.2,4343,14.4,1301,4.3,2054,6.73906624233078
"55","17111","McHenry County, Illinois",10.3,3.9525956284153,112453,1363,387,13469,502,1468,23559,1.55620570371622,34.6793771620144,2367,2.1,17556,7.49071980202244,7121,2.9,29275,9.6,15997,5.2,17894,5.8151400326277
"56","17135","Montgomery County, Illinois",25.3,2.40200364298725,11522,93,42,1548,69,199,3471,1.17167158479431,45.8861308800555,29,0.3,3063,13.2873503383654,554,2.3,3813,14.7,934,3.6,2272,7.88122658526433
"57","17195","Whiteside County, Illinois",19.8,2.4695810564663,23084,174,137,3177,171,467,6872,1.34725350892393,46.2961358516722,298,1.3,4328,9.94028479559026,1235,2.7,8264,15,2595,4.7,4402,7.85846900885461
"58","17001","Adams County, Illinois",19.8,2.41316029143898,27112,307,122,3759,82,583,8005,1.58232516966657,45.8431690764237,49,0.2,4035,7.88640450316629,1505,2.8,9494,14.6,3074,4.7,5349,8.09412120753575
"59","17027","Clinton County, Illinois",16,3.03456284153005,14353,134,99,1834,74,168,3886,1.62335400264753,41.5383543510068,49,0.3,3191,10.7578720248129,495,1.6,5062,14.3,1338,3.8,2519,6.69341552851145
"60","17037","DeKalb County, Illinois",20.3,2.88328779599271,38150,531,94,3823,114,543,10408,1.63826998689384,39.0249017038008,832,2.2,5927,7.24191439707733,3616,4.3,10875,10.5,5465,5.3,4950,4.74292394074699
"61","17047","Edwards County, Illinois",21.4,2.32604735883424,2773,21,12,412,8,25,831,1.19004688063469,46.0151460512081,39,1.4,409,8.25262308313156,164,3.2,1038,16.1,401,6.2,531,8.22618125484121
"62","17079","Jasper County, Illinois",24.9,2.47067395264117,3711,63,0,551,40,20,1106,1.69765561843169,46.2678523309081,1,0,754,10.2334419109663,230,3,1951,20.5,630,6.6,772,8.0466958515739
"63","17081","Jefferson County, Illinois",24.3,2.27213114754098,14985,232,44,2042,79,233,4535,1.84184184184184,45.9726393059726,50,0.3,3850,13.0318518769252,1242,4.1,6691,18.8,2102,5.9,2940,7.73989732789259
"64","17183","Vermilion County, Illinois",25.7,2.1181693989071,31151,404,94,3952,91,705,10158,1.59866456935572,47.8507913068601,274,0.9,7458,12.6139534883721,2190,3.6,11100,14.8,4297,5.7,5801,7.47908152082823
"65","17197","Will County, Illinois",11,3.95997267759563,229498,3239,718,24944,1209,3946,48755,1.72419803222686,34.3593408221422,8260,3.6,47722,9.2668936041307,17294,3.2,60735,8.9,34217,5,35538,5.15555297650566
"66","17199","Williamson County, Illinois",23.2,2.31029143897996,27029,119,95,3267,124,604,8633,0.791742202819194,46.7201894261719,114,0.4,4252,8.11140785959557,1740,3.2,11773,18.1,3445,5.3,5102,7.60335012369229
"67","17023","Clark County, Illinois",19.2,2.57427140255009,6720,40,53,878,54,152,1528,1.38392857142857,38.8690476190476,5,0.1,965,7.97982303812123,444,3.6,2655,17.1,722,4.7,1190,7.57190124713668
"68","17041","Douglas County, Illinois",21,2.58260473588342,7613,139,82,976,44,81,2084,2.90292920005254,41.8363325889925,133,1.7,2660,18.0829367777022,387,2.5,2252,11.6,2852,14.7,1345,6.85420170208429
"69","17049","Effingham County, Illinois",18.6,2.58128415300546,13877,112,140,1660,77,238,4022,1.81595445701521,43.2153923758737,100,0.7,2008,7.71032523134815,491,1.8,4545,13.5,1569,4.7,2304,6.74927498022673
"70","17057","Fulton County, Illinois",23.4,2.35168488160291,13940,109,64,2095,81,188,4384,1.24103299856528,48.4074605451937,24,0.2,3438,12.2218272307145,1023,3.5,4673,14.4,2017,6.2,2802,7.98472586344466
"71","17061","Greene County, Illinois",22.5,2.27163023679417,4949,58,0,723,20,67,1481,1.17195393008689,46.292180238432,11,0.2,1039,9.9875036047294,161,1.5,2000,15.6,758,5.9,974,7.41699664940603
"72","17065","Hamilton County, Illinois",20.4,2.46111111111111,3400,25,0,471,13,43,826,0.735294117647059,39.7941176470588,0,0,820,12.8849780012571,110,1.7,1725,21.3,437,5.4,683,8.35371819960861
"73","17069","Hardin County, Illinois",24,2.33378870673953,1363,11,2,240,54,7,396,0.953778429933969,51.1371973587674,0,0,642,19.6751455715599,206,6.1,958,24.9,312,8.1,471,11.957349581112
"74","17073","Henry County, Illinois",19.5,2.72918943533698,19856,102,44,2898,97,219,5675,0.735294117647059,44.7673247381144,175,0.9,3379,8.83398692810458,1095,2.8,6193,12.8,2202,4.5,4204,8.53309517526945
"75","17087","Johnson County, Illinois",20.7,2.40318761384335,4303,33,26,838,55,102,1085,1.37113641645364,48.3383685800604,0,0,1906,18.6314760508309,171,1.6,1675,16.4,409,4,1101,8.81222987033776
"76","17095","Knox County, Illinois",29.2,2.00951730418944,20680,235,111,2584,119,356,7515,1.67311411992263,51.1315280464217,196,0.9,4418,10.904064960387,1145,2.7,7592,15.9,2373,5,4277,8.4679654708165
"77","17105","Livingston County, Illinois",21.3,2.51183970856102,14307,138,51,1851,84,274,4247,1.32103166282239,45.1247641014888,63,0.4,3172,11.2172006506825,854,2.9,5237,15.5,1574,4.6,2628,7.29189789123196
"78","17171","Scott County, Illinois",19.8,2.60100182149362,1939,23,2,303,5,38,504,1.28932439401753,43.8370293965962,4,0.2,267,6.83039140445127,144,3.6,665,13.4,133,2.7,421,8.41158841158841
"79","17179","Tazewell County, Illinois",15,2.88952641165756,54291,522,137,7557,147,863,15642,1.21382917979039,44.5911845425577,208,0.4,8132,7.90889020725338,2913,2.7,15894,12.2,4976,3.8,9465,7.10612260219978
"80","17187","Warren County, Illinois",20.4,2.29098360655738,6862,118,107,885,75,184,2012,3.2789274264063,45.9924220343923,266,3.9,1627,12.150858849888,666,4.8,2259,13.3,674,4,1295,7.55278198996851
"81","17167","Sangamon County, Illinois",19.9,2.81930783242259,83711,1129,275,9164,559,1502,28044,1.67719893442917,46.9102029601844,400,0.5,12748,8.34981725768631,5822,3.7,26552,13.6,7632,3.9,13180,6.69507926912898
"82","17157","Randolph County, Illinois",19.7,2.45063752276867,11883,98,28,1664,48,207,3618,1.06033829840949,46.5959774467727,33,0.3,4304,16.5030674846626,668,2.5,4640,16.3,1495,5.2,2346,7.26428239665583
"83","17141","Ogle County, Illinois",16,2.77714025500911,21021,270,146,2763,112,288,5920,1.97897340754484,43.2091717806004,308,1.5,3978,10.0798175598632,1546,3.8,6551,13,2361,4.7,3705,7.26114649681529
"84","17137","Morgan County, Illinois",23.8,2.34230418943534,13719,103,13,1743,32,188,4614,0.845542678037758,47.9408120125374,73,0.5,2729,9.83104578695198,915,3.2,5184,16.2,1149,3.6,2641,7.71162437585774
"85","17193","White County, Illinois",25.3,2.24453551912568,6041,45,9,861,44,59,1873,0.893891739778182,46.9624234398278,42,0.7,1173,10.7871988228803,419,3.7,2648,19.6,652,4.8,1125,8.11220074992789
"86","17071","Henderson County, Illinois",17.7,2.44426229508197,2977,16,24,547,24,36,784,1.34363453140746,46.7248908296943,0,0,520,9.36768149882904,191,3.3,1088,16.1,392,5.8,727,10.6770450873843
"87","17113","McLean County, Illinois",20,3.08173952641166,65845,299,214,6410,306,795,19028,0.779102437542714,40.3052623585694,1243,1.9,6376,4.71503471939775,2922,2.1,16081,9.4,6811,4,8765,5.07886289098263
"88","17145","Perry County, Illinois",26.9,2.38743169398907,8433,76,33,1125,24,161,2445,1.29254120716234,44.5274516779319,60,0.7,2985,17.3425517081106,531,3,3574,19.2,732,3.9,1492,7.02084607783163
"89","17161","Rock Island County, Illinois",20.8,2.49808743169399,60546,774,261,7142,465,1257,19920,1.70944405906253,47.5407128464308,1459,2.4,12496,11.183203715802,4123,3.6,19272,13.7,7376,5.2,10712,7.44545536688607
"90","17185","Wabash County, Illinois",25.2,2.31193078324226,4839,35,9,702,23,86,1457,0.909278776606737,46.8691878487291,51,1.1,849,9.4543429844098,193,2.1,2041,17.8,815,7.1,948,8.21063571799757
"91","17035","Cumberland County, Illinois",20.3,2.55947176684882,4299,50,24,629,27,58,1137,1.72133054198651,43.0565247732031,4,0.1,843,10.0897666068223,167,1.9,1761,16.4,568,5.3,853,7.8719084533038
"92","17085","Jo Daviess County, Illinois",18.2,2.63870673952641,9970,157,13,1939,59,111,3121,1.70511534603811,52.457372116349,86,0.9,1426,8.16630397434429,420,2.3,3021,14.1,1097,5.1,2626,12.1641652770057
"93","17101","Lawrence County, Illinois",24.2,2.12367941712204,6306,139,14,798,34,113,1909,2.42626070409134,45.2584839835078,34,0.5,2272,17.2920313570287,392,2.9,2902,21.2,1033,7.6,1183,7.37853177820745
"94","17123","Marshall County, Illinois",20,2.66234061930783,4884,33,7,771,43,57,1546,0.819000819000819,49.4881244881245,16,0.3,722,7.77682033606204,313,3.3,1523,13.3,407,3.6,1056,9.04187002311842
"95","17021","Christian County, Illinois",22.6,2.40591985428051,13901,91,35,1724,52,214,4365,0.906409610819366,45.716135529818,39,0.3,2854,10.8993698682452,497,1.9,4109,13.1,1357,4.3,2390,7.25759922261699
"96","17077","Jackson County, Illinois",37.6,1.69585610200364,23883,271,23,2426,133,383,8931,1.23100113051124,49.7131851107482,433,1.8,3296,6.96372356383765,2346,4.8,8514,14.8,3662,6.4,3340,5.76090518653949
"97","17143","Peoria County, Illinois",23.1,2.54289617486339,73253,768,255,7756,368,1323,25378,1.39652983495557,47.5407150560387,854,1.2,13341,9.57820296514341,6598,4.6,21396,11.9,9762,5.4,11807,6.46003173387317
"98","17147","Piatt County, Illinois",12.5,3.22627504553734,6692,14,10,1045,33,73,1804,0.358637178720861,44.157202630006,14,0.2,848,6.67453758362849,411,3.1,2184,13.4,641,3.9,1272,7.75562465703311
"99","17175","Stark County, Illinois",22.2,2.50031876138434,2315,2,4,356,8,48,716,0.259179265658747,48.7257019438445,1,0,395,9.24409080271472,75,1.7,652,12.2,291,5.4,497,9.12428859922893
"100","17005","Bond County, Illinois",22.2,2.60878870673953,6299,66,224,938,14,79,1735,4.60390538180664,43.9117320209557,14,0.2,1419,10.5674709562109,236,1.7,2418,15.8,880,5.7,1242,7.48688890228465
"101","17015","Carroll County, Illinois",20.2,2.38661202185792,6508,25,11,1129,29,72,2110,0.553165334972342,51.3214505224339,44,0.7,1001,8.58416945373467,393,3.3,1966,13.9,862,6.1,1586,10.9636388773676
"102","17083","Jersey County, Illinois",17.8,2.87012750455373,8499,51,16,1260,46,154,2345,0.788328038592776,44.7699729379927,36,0.4,1382,7.95166858457998,334,1.9,3063,14.2,904,4.2,1681,7.66285271459179
